DATE,XUDLCDS,XUDLERS,XUDLJYS,XUDLUSS
20 Jan 2026,1.8611,1.1475,212.5197,1.3457
21 Jan 2026,1.8528,1.1475,212.4499,1.3428
22 Jan 2026,1.8603,1.1486,213.4848,1.3478
23 Jan 2026,1.8631,1.1536,214.4672,1.3564
26 Jan 2026,1.8752,1.1523,210.8488,1.3708
