DATE,XUDLCDS,XUDLERS,XUDLJYS,XUDLUSS
30 Dec 2025,1.8436,1.1457,210.6167,1.3473
31 Dec 2025,1.8438,1.1454,210.8377,1.3451
02 Jan 2026,1.8523,1.1486,211.3484,1.3497
05 Jan 2026,1.8565,1.1537,211.4232,1.3503
