From Currency,To Currency,User Conversion Type,From Conversion Date,To Conversion Date,Conversion Rate,Inverse Conversion Rate,Mode Flag
GBP,EUR,Corporate,02/06/2025,08/06/2025,1.187600,,Insert
GBP,JPY,Corporate,02/06/2025,08/06/2025,194.518300,,Insert
GBP,USD,Corporate,02/06/2025,08/06/2025,1.348200,,Insert
GBP,CAD,Corporate,09/06/2025,15/06/2025,1.851600,,Insert
GBP,EUR,Corporate,09/06/2025,15/06/2025,1.187600,,Insert
GBP,JPY,Corporate,09/06/2025,15/06/2025,196.005700,,Insert
GBP,USD,Corporate,09/06/2025,15/06/2025,1.352700,,Insert
GBP,CAD,Corporate,16/06/2025,22/06/2025,1.845400,,Insert
GBP,EUR,Corporate,16/06/2025,22/06/2025,1.175900,,Insert
GBP,JPY,Corporate,16/06/2025,22/06/2025,195.656900,,Insert
GBP,USD,Corporate,16/06/2025,22/06/2025,1.357600,,Insert
GBP,CAD,Corporate,23/06/2025,29/06/2025,1.848600,,Insert
GBP,EUR,Corporate,23/06/2025,29/06/2025,1.169500,,Insert
GBP,JPY,Corporate,23/06/2025,29/06/2025,196.467300,,Insert
GBP,USD,Corporate,23/06/2025,29/06/2025,1.346500,,Insert
GBP,CAD,Corporate,30/06/2025,06/07/2025,1.873300,,Insert
GBP,EUR,Corporate,30/06/2025,06/07/2025,1.170400,,Insert
GBP,JPY,Corporate,30/06/2025,06/07/2025,198.709800,,Insert
GBP,USD,Corporate,30/06/2025,06/07/2025,1.371500,,Insert
GBP,CAD,Corporate,07/07/2025,13/07/2025,1.856800,,Insert
GBP,EUR,Corporate,07/07/2025,13/07/2025,1.158300,,Insert
GBP,JPY,Corporate,07/07/2025,13/07/2025,197.175500,,Insert
GBP,USD,Corporate,07/07/2025,13/07/2025,1.364300,,Insert
GBP,CAD,Corporate,14/07/2025,20/07/2025,1.849800,,Insert
GBP,EUR,Corporate,14/07/2025,20/07/2025,1.155100,,Insert
GBP,JPY,Corporate,14/07/2025,20/07/2025,198.982700,,Insert
GBP,USD,Corporate,14/07/2025,20/07/2025,1.350500,,Insert
GBP,CAD,Corporate,21/07/2025,27/07/2025,1.843900,,Insert
GBP,EUR,Corporate,21/07/2025,27/07/2025,1.154100,,Insert
GBP,JPY,Corporate,21/07/2025,27/07/2025,199.580100,,Insert
GBP,USD,Corporate,21/07/2025,27/07/2025,1.344200,,Insert
GBP,CAD,Corporate,28/07/2025,03/08/2025,1.840400,,Insert
GBP,EUR,Corporate,28/07/2025,03/08/2025,1.145000,,Insert
GBP,JPY,Corporate,28/07/2025,03/08/2025,198.401400,,Insert
GBP,USD,Corporate,28/07/2025,03/08/2025,1.343000,,Insert
GBP,CAD,Corporate,04/08/2025,10/08/2025,1.828900,,Insert
GBP,EUR,Corporate,04/08/2025,10/08/2025,1.147800,,Insert
GBP,JPY,Corporate,04/08/2025,10/08/2025,196.425800,,Insert
GBP,USD,Corporate,04/08/2025,10/08/2025,1.326300,,Insert
GBP,CAD,Corporate,11/08/2025,17/08/2025,1.848500,,Insert
GBP,EUR,Corporate,11/08/2025,17/08/2025,1.152900,,Insert
GBP,JPY,Corporate,11/08/2025,17/08/2025,198.647900,,Insert
GBP,USD,Corporate,11/08/2025,17/08/2025,1.343900,,Insert
GBP,CAD,Corporate,18/08/2025,24/08/2025,1.872200,,Insert
GBP,EUR,Corporate,18/08/2025,24/08/2025,1.157800,,Insert
GBP,JPY,Corporate,18/08/2025,24/08/2025,199.128600,,Insert
GBP,USD,Corporate,18/08/2025,24/08/2025,1.356000,,Insert
GBP,CAD,Corporate,25/08/2025,31/08/2025,1.870900,,Insert
GBP,EUR,Corporate,25/08/2025,31/08/2025,1.154200,,Insert
GBP,JPY,Corporate,25/08/2025,31/08/2025,198.614000,,Insert
GBP,USD,Corporate,25/08/2025,31/08/2025,1.352500,,Insert
GBP,CAD,Corporate,01/09/2025,07/09/2025,1.854700,,Insert
GBP,EUR,Corporate,01/09/2025,07/09/2025,1.154300,,Insert
GBP,JPY,Corporate,01/09/2025,07/09/2025,198.360000,,Insert
