DATE,XUDLCDS,XUDLERS,XUDLJYS,XUDLUSS
03 Mar 2026,1.8228,1.1494,209.9575,1.3302
04 Mar 2026,1.8257,1.1482,209.9909,1.3365
05 Mar 2026,1.8229,1.1502,209.9971,1.3323
06 Mar 2026,1.8204,1.1537,210.5257,1.336
09 Mar 2026,1.8181,1.1554,211.7232,1.3393
