DATE,XUDLCDS,XUDLERS,XUDLJYS,XUDLUSS
20 May 2025,1.8642,1.1864,193.2689,1.3369
21 May 2025,1.8606,1.1848,193.0489,1.3437
22 May 2025,1.8623,1.1903,192.9834,1.3424
23 May 2025,1.8564,1.1896,192.5407,1.3496
