DATE,XUDLCDS,XUDLERS,XUDLJYS,XUDLUSS
31 Dec 2024,1.8015,1.2099,196.9167,1.2529
02 Jan 2025,1.7848,1.2045,194.4917,1.2375
03 Jan 2025,1.7909,1.2058,195.2468,1.2404
06 Jan 2025,1.7963,1.2034,197.0385,1.2508
